gen_z,normal
"Got the job today, big W!","I successfully secured employment today, which is a great achievement."
"I forgot my wallet at home, that’s an L.","I forgot my wallet at home, which is a significant loss."
Your tweet got 5 likes and 100 replies calling you out. L + ratio.,Your public statement received five endorsements and one hundred criticisms. This is a significant defeat with overwhelming negative feedback.
That meme is so dank!,That internet joke is exceptionally good.
"That phrase is so cheugy, no one says that anymore.","That phrase is so uncool or out of style, no one uses it anymore."
TFW you finish a big project and can finally relax,That feeling when you finish a significant project and are finally able to relax
He’s really woke about climate change.,"He is very aware of social and political issues, particularly climate change."
This new track is a total bop!,This new song is excellent.
Michael Jordan is the GOAT of basketball.,Michael Jordan is the greatest of all time in basketball.
"Look at that smol puppy, it’s adorable!","Look at that small puppy, it is adorable!"
"What’s good, fam? Long time no see!","How are you, family? It has been a long time since we last met."
She really had a glow up since high school.,She has undergone a significant positive transformation since high school.
I stan BTS so hard!,I am an extremely devoted fan of BTS.
"We were talking for weeks, and then she just ghosted me.","We had been communicating for several weeks, and then she abruptly ceased all contact with me."
He’s just salty because he lost the game,He is upset because he lost the game
I’m just here to sip tea and watch the drama unfold.,I am merely observing the situation and enjoying the unfolding spectacle.
His drip today is on point.,His outfit today is perfect.
That hidden message in the movie was iconic. IYKYK.,That subtle reference in the film was highly memorable. Only those who are aware would understand.
That song is living rent-free in my head,I cannot stop thinking about that song
"If you keep talking like that, you’re gonna catch these hands.","If you continue to speak in that manner, I will resort to physical confrontation."
She dragged him for his terrible performance.,She harshly criticized him for his terrible performance.
This pizza is bussin’!,This pizza is excellent.
Her makeup was snatched at the event.,Her makeup was excellent at the event.
People are saying he’s canceled after those comments.,People are saying he has been ostracized after those comments.
"FFS, why is this meeting taking so long?","For goodness sake, why is this meeting being so protracted?"
He’s such an e-boy with those black nails and chains.,"He presents as a young man who embodies the aesthetic of an internet subculture, particularly with his black fingernails and chain accessories."
She’s such an e-girl with her neon eyeliner and platform boots.,She is a young woman who embraces a specific aesthetic characterized by heavy makeup and distinctive footwear.
She wore the same dress as the bride at the wedding? Big yikes.,She wore the same dress as the bride at the wedding? That is a very embarrassing situation.
I’m finna head out.,I am going to leave now.
"He said he’s a millionaire, but that’s cap.","He claimed to be a millionaire, but that is a lie."
I high-key love this song.,I genuinely enjoy this song.
"He buys her gifts every day, he’s such a simp.",He consistently buys her gifts; he is overly solicitous and subservient.
"That outfit is so camp, it’s amazing.","That attire is so exaggerated and theatrical, it is wonderful."
He showed up to the party looking like a whole snack.,He arrived at the party looking extremely attractive.
"You’re being way too extra right now, take several seats.",You are behaving excessively right now; please calm down.
"Sheesh, that’s a lot of money!",That is a significant amount of money.
This song hits different at night.,This song is particularly affecting when heard at night.
You want to meet at 6? Bet.,"Do you agree to meet at 6? Yes, I agree."
"That’s the best movie of all time, periodt.","That is the best movie of all time, without question."
He finessed his way into the VIP section.,He cleverly manipulated the situation to gain entry into the VIP section.
That joke had me weak!,That joke caused me to laugh uncontrollably.
She’s living her life like she’s the main character in a movie.,She is fully embracing her life as if she is the protagonist in a movie.
"Sis, you are killing it in that outfit!","Sister, you look magnificent in that attire"
That meme is sending me!,That meme is very amusing.
I’m trying to stack up this gaup before the weekend.,I am attempting to accumulate a large amount of money before the weekend.
"That outfit? This ain’t it, chief.",That outfit is not satisfactory.
"She brought a whole suitcase for a weekend trip, she’s so extra.","She packed an excessive amount for a short trip, she is so dramatic."
