normal,gen_z,Word/Phrase,Definition,Popularity/Trend Level
"I'm really tired today, I think I need some rest.","I'm totally drained today, need to catch some Z's.",,,
"I'm really tired today, I just want to relax at home.","I'm hella drained today, just wanna chill at home.",,,
I'm really excited for the concert tonight.,I'm so hype for the concert tonight.,,,
"I'm really tired today, I think I need some coffee.","I'm so drained today, I gotta get me some caffeine.",,,
I'm really looking forward to the weekend.,"I'm so hyped for the weekend, can't wait to turn up!",,,
I'm really tired today and just want to relax at home.,I'm mad tired today and just wanna chill at home.,,,
I'm just hanging out with my friends tonight.,I'm just vibing with the squad tonight.,,,
I'm going to grab some coffee before work.,"I'm tryna hit up some coffee before I clock in, fr.",,,
"Hey, did you see the new movie last night? It was really good.","Yo, peep the new flick last night? It was lit.",,,
I'm just chilling at home and watching some TV.,"Just vibing at home, Netflix and chillin'.",,,
I'm just going to grab some coffee and then head to class.,I'm just finna get some coffee and then slide to class.,,,
I'm feeling really tired today because I didn't sleep well.,I'm mad tired today 'cause I slept like zero.,,,
I'm really tired today but I still have a lot of work to do.,I'm hella tired today but still gotta grind through my tasks.,,,
I'm just really tired today and don't want to do anything complicated.,I'm deadass exhausted today and not tryna do anything sus.,,,
I'm really exhausted after a long day at work.,"I'm totally wiped after a long day at work, fr.",,,
"Hey, are you free to hang out later?","Yo, you down to chill later?",,,
I'm really excited about the concert tonight.,I'm hyped for the concert tonight.,,,
"Hey, are you coming to the party tonight?","Yo, you sliding to the party tonight?",,,
I'm really tired today because I didn't sleep well.,"I'm so drained today, barely slept tbh.",,,
I'm really excited about the concert this weekend.,I'm super hyped for the concert this weekend.,,,
I'm just hanging out with my friends at the mall.,I'm just chillin' with my friends at the mall.,,,
I'm just heading to the store to grab some snacks.,I'm just sliding to the store to cop some snacks.,,,
I'm just going to chill at home and watch some movies.,"I'm just gonna vibing at home, bingeing some flicks.",,,
I'm just going to chill at home today.,I'm just vibing at home today.,,,
"I'm really tired today, I think I need some coffee.","I'm dead tired today, need some coffee to stay woke.",,,
I'm really tired today and just want to relax at home.,I'm super drained today and just wanna chill at home.,,,
I'm just really tired today and not feeling up to going out.,I'm lowkey drained today and not tryna pop off outside.,,,
I'm just really tired today because I didn’t sleep well.,I'm hella drained 'cause I didn't catch enough Z's.,,,
I'm really tired after a long day at work.,I'm super drained after all that at work today.,,,
"Hey, did you see the new movie that just came out?","Yo, did you peep the new flick that dropped?",,,
"I'm really tired today, I think I'll just stay home and relax.","I'm super drained today, imma just chill at home and  vibe.",,,
I'm really tired today but I have to go to work.,I'm super exhausted today but I gotta hit up work.,,,
"Hey, how are you doing today?","Yo, what’s good? How you vibing today?",,,
I'm just hanging out with my friends at the park.,I'm just vibing with my squad at the park.,,,
I'm really tired today because I didn't sleep well last night.,I'm mad tired today 'cause I didn't catch enough Z's last night.,,,
I'm feeling really tired today because I didn't get enough sleep.,"I'm mad tired today 'cause I didn't sleep enough, fr.",,,
"I'm really tired today, I think I need a coffee.","I'm so beat today, I need a coffee boost.",,,
"Hey, do you want to grab coffee later?","Yo, wanna toss back a coffee later?",,,
It's really nice to see you today.,It's mad chill to catch you today.,,,
I'm just really tired today but I still have to go to work.,I'm down bad but gotta yeet to work anyway.,,,
"I'm really tired today, I might just stay home and relax.","I'm so exhausted today, lowkey just tryna chill at home.",,,
I'm just really tired today because I didn't get enough sleep.,I'm mad tired today ’cause I didn’t catch enough Z’s.,,,
It's really hot outside today.,"Yo, it's mad hot out today.",,,
I'm feeling really tired after a long day at work.,"I'm totally drained after a long day at work, fr.",,,
"It's really hot today, I don't want to go outside.","It's mad hot today, I can't even go outside, fr.",,,
I'm feeling really tired today.,I'm hella drained today.,,,
